Region;Week;Visits;shop_id
West;2024-03-10 To 2024-03-16;20.859;;
West;2024-03-17 To 2024-03-23;18.96;;
West;2024-03-24 To 2024-03-30;20.077;;
West;2024-03-31 To 2024-04-06;20.204;;
West;2024-04-07 To 2024-04-13;21.661;;
West;2024-04-14 To 2024-04-20;17.77;;
West;2024-04-21 To 2024-04-27;14.262;;
West;2024-04-28 To 2024-05-04;19.304;;
West;2024-05-05 To 2024-05-11;17.906;;
West;2024-05-12 To 2024-05-18;20.21;;
West;2024-05-19 To 2024-05-25;21.431;;
West;2024-05-26 To 2024-06-01;24.569;;
West;2024-06-02 To 2024-06-08;23.696;;
West;2024-06-09 To 2024-06-15;19.718;;
West;2024-06-16 To 2024-06-22;25.686;;
West;2024-06-23 To 2024-06-29;20.728;;
West;2024-06-30 To 2024-07-06;20.899;;
West;2024-07-07 To 2024-07-13;19.064;;
West;2024-07-14 To 2024-07-20;15.963;;
West;2024-07-21 To 2024-07-27;19.39;;
West;2024-07-28 To 2024-08-03;19.596;;
West;2024-08-04 To 2024-08-10;19.18;;
West;2024-08-11 To 2024-08-17;15.781;;
West;2024-08-18 To 2024-08-24;18.562;;
West;2024-08-25 To 2024-08-31;17.665;;
West;2024-09-01 To 2024-09-07;18.275;;
West;2024-09-08 To 2024-09-14;18.788;;
West;2024-09-15 To 2024-09-21;20.164;;
West;2024-09-22 To 2024-09-28;20.019;;
West;2024-09-29 To 2024-10-05;18.329;;
West;2024-10-06 To 2024-10-12;18.075;;
West;2024-10-13 To 2024-10-19;14.842;;
West;2024-10-20 To 2024-10-26;14.768;;
West;2024-10-27 To 2024-11-02;16.898;;
West;2024-11-03 To 2024-11-09;18.735;;
West;2024-11-10 To 2024-11-16;19.227;;
West;2024-11-17 To 2024-11-23;17.976;;
West;2024-11-24 To 2024-11-30;18.355;;
West;2024-12-01 To 2024-12-07;21.912;;
West;2024-12-08 To 2024-12-14;18.568;;
West;2024-12-15 To 2024-12-21;17.807;;
West;2024-12-22 To 2024-12-28;19.239;;
West;2024-12-29 To 2025-01-04;18.601;;
West;2025-01-05 To 2025-01-11;18.339;;
West;2025-01-12 To 2025-01-18;19.124;;
West;2025-01-19 To 2025-01-25;19.222;;
West;2025-01-26 To 2025-02-01;20.432;;
West;2025-02-02 To 2025-02-08;16.458;;
West;2025-02-09 To 2025-02-15;20.248;;
West;2025-02-16 To 2025-02-22;21.366;;
West;2025-02-23 To 2025-03-01;18.4;;
West;2025-03-02 To 2025-03-08;18.258;;
West;2025-03-09 To 2025-03-15;16.935;;
West;2025-03-16 To 2025-03-22;17.093;;
West;2025-03-23 To 2025-03-29;27.994;;
West;2025-03-30 To 2025-04-05;20.097;;
West;2025-04-06 To 2025-04-12;19.345;;
West;2025-04-13 To 2025-04-19;19.636;;
West;2025-04-20 To 2025-04-26;24.088;;
West;2025-04-27 To 2025-05-03;17.155;;
West;2025-05-04 To 2025-05-10;24.053;;
West;2025-05-11 To 2025-05-17;18.425;;
West;2025-05-18 To 2025-05-24;15.608;;
West;2025-05-25 To 2025-05-31;24.402;;
West;2025-06-01 To 2025-06-07;13.56;;
West;2025-06-08 To 2025-06-14;15.119;;
West;2025-06-15 To 2025-06-21;13.288;;
West;2025-06-22 To 2025-06-28;10.96;;
West;2025-06-29 To 2025-07-05;13.051;;
West;2025-07-06 To 2025-07-12;11.566;;
West;2025-07-13 To 2025-07-19;13.56;;
West;2025-07-20 To 2025-07-26;17.837;;
West;2025-07-27 To 2025-08-02;16.764;;
West;2025-08-03 To 2025-08-09;20.452;;
West;2025-08-10 To 2025-08-16;10.337;;
West;2025-08-17 To 2025-08-23;11.672;;
West;2025-08-24 To 2025-08-30;17.179;;
West;2025-08-31 To 2025-09-06;14.192;;
West;2025-09-07 To 2025-09-13;15.394;;
West;2025-09-14 To 2025-09-20;18.042;;
West;2025-09-21 To 2025-09-27;24.401;;
West;2025-09-28 To 2025-10-04;23.345;;
West;2025-10-05 To 2025-10-11;11.613;;
West;2025-10-12 To 2025-10-18;10.83;;
West;2025-10-19 To 2025-10-25;15.63;;
West;2025-10-26 To 2025-11-01;30.332;;
West;2025-11-02 To 2025-11-08;24.401;;
West;2025-11-09 To 2025-11-15;17.837;;
West;2025-11-16 To 2025-11-22;17.179;;
East;2023-10-01 To 2023-10-07;127492;22601
East;2023-10-08 To 2023-10-14;123915;22601
East;2023-10-15 To 2023-10-21;115988;22601
East;2023-10-22 To 2023-10-28;116211;22601
East;2023-10-29 To 2023-11-04;181811;22601
East;2023-11-05 To 2023-11-11;177408;22601
East;2023-11-12 To 2023-11-18;182683;22601
East;2023-11-19 To 2023-11-25;201389;22601
East;2023-11-26 To 2023-12-02;191052;22601
East;2023-12-03 To 2023-12-09;178562;22601
East;2023-12-10 To 2023-12-16;166650;22601
East;2023-12-17 To 2023-12-23;164147;22601
East;2023-12-24 To 2023-12-30;176809;22601
East;2023-12-31 To 2024-01-06;182122;22601
East;2024-01-07 To 2024-01-13;186521;22601
East;2024-01-14 To 2024-01-20;181045;22601
East;2024-01-21 To 2024-01-27;190375;22601
East;2024-01-28 To 2024-02-03;173375;22601
East;2024-02-04 To 2024-02-10;160502;22601
East;2024-02-11 To 2024-02-17;157754;22601
East;2024-02-18 To 2024-02-24;164925;22601
East;2024-02-25 To 2024-03-02;160866;22601
East;2024-03-03 To 2024-03-09;155532;22601
East;2024-03-10 To 2024-03-16;165531;22601
East;2024-03-17 To 2024-03-23;153507;22601
East;2024-03-24 To 2024-03-30;179925;22601
East;2024-03-31 To 2024-04-06;196974;22601
East;2024-04-07 To 2024-04-13;197144;22601
East;2024-04-14 To 2024-04-20;209866;22601
East;2024-04-21 To 2024-04-27;163560;22601
East;2024-04-28 To 2024-05-04;179029;22601
East;2024-05-05 To 2024-05-11;166588;22601
East;2024-05-12 To 2024-05-18;190102;22601
East;2024-05-19 To 2024-05-25;211084;22601
